ORI,Name,UCR_OFFENSE,SUB_TOC,SUB_TOC_CODE,MONTH,COUNT,Type,Description,Sub_Description
AZ0072300,Phoenix,09A,,,1,13,Violent,Murder/Non-negligent Manslaughter,
AZ0072300,Phoenix,09B,,,1,0,Violent,Manslaughter by negliglence,
AZ0072300,Phoenix,11A,,11A-11C,1,76,Violent,Rape,
AZ0072300,Phoenix,120,GUN,"11,12,13,14,15",1,116,Violent,Robbery,Firearm
AZ0072300,Phoenix,120,KNIFE,20,1,45,Violent,Robbery,Knife
AZ0072300,Phoenix,120,OTHER_DW,"30,35,50,55,60,65,70",1,34,Violent,Robbery,Other Dangerous Weapon
AZ0072300,Phoenix,120,STRONGARM,40,1,135,Violent,Robbery,"Strong-arm (hands ,fists, feet)"
AZ0072300,Phoenix,120,OTHER ,"85,90,95,99",1,0,Violent,Robbery,Other
AZ0072300,Phoenix,13A,,,1,672,Violent,Aggravated Assault,
AZ0072300,Phoenix,220,,,1,585,Property,Burglary/Breaking and Entering,
AZ0072300,Phoenix,23,,23A-23H,1,3270,Property,Theft,
AZ0072300,Phoenix,240,AUTO,3,1,383,Property,Motor Vehicle Theft,Auto
AZ0072300,Phoenix,240,TRUCK,"5,37",1,192,Property,Motor Vehicle Theft,Trucks and Buses
AZ0072300,Phoenix,240,OTHER,24,1,52,Property,Motor Vehicle Theft,Other Vehicles
AZ0072300,Phoenix,09A,,,2,19,Violent,Murder/Non-negligent Manslaughter,
AZ0072300,Phoenix,09B,,,2,0,Violent,Manslaughter by negliglence,
AZ0072300,Phoenix,11A,,11A-11C,2,88,Violent,Rape,
AZ0072300,Phoenix,120,GUN,"11,12,13,14,15",2,80,Violent,Robbery,Firearm
AZ0072300,Phoenix,120,KNIFE,20,2,24,Violent,Robbery,Knife
AZ0072300,Phoenix,120,OTHER_DW,"30,35,50,55,60,65,70",2,38,Violent,Robbery,Other Dangerous Weapon
AZ0072300,Phoenix,120,STRONGARM,40,2,123,Violent,Robbery,"Strong-arm (hands ,fists, feet)"
