UCR_OFFENSE,UCRDescription,OFFENSE_NUM,MONTH,COUNT,ORI,CITY_NAME
09A,01 - HOMICIDE,1,1,3,AZ0100300,TUCSON
09A,01 - HOMICIDE,1,2,7,AZ0100300,TUCSON
09A,01 - HOMICIDE,1,3,6,AZ0100300,TUCSON
09A,01 - HOMICIDE,1,4,10,AZ0100300,TUCSON
09A,01 - HOMICIDE,1,5,3,AZ0100300,TUCSON
09A,01 - HOMICIDE,1,6,8,AZ0100300,TUCSON
09A,01 - HOMICIDE,1,7,12,AZ0100300,TUCSON
09A,01 - HOMICIDE,1,8,4,AZ0100300,TUCSON
09A,01 - HOMICIDE,1,9,9,AZ0100300,TUCSON
09A,01 - HOMICIDE,1,10,12,AZ0100300,TUCSON
09A,01 - HOMICIDE,1,11,6,AZ0100300,TUCSON
09A,01 - HOMICIDE,1,12,2,AZ0100300,TUCSON
09B,01 - HOMICIDE,1,5,1,AZ0100300,TUCSON
11A,02 - SEXUAL ASSAULT,2,1,42,AZ0100300,TUCSON
11A,02 - SEXUAL ASSAULT,2,2,43,AZ0100300,TUCSON
11A,02 - SEXUAL ASSAULT,2,3,30,AZ0100300,TUCSON
11A,02 - SEXUAL ASSAULT,2,4,37,AZ0100300,TUCSON
11A,02 - SEXUAL ASSAULT,2,5,46,AZ0100300,TUCSON
11A,02 - SEXUAL ASSAULT,2,6,42,AZ0100300,TUCSON
11A,02 - SEXUAL ASSAULT,2,7,33,AZ0100300,TUCSON
11A,02 - SEXUAL ASSAULT,2,8,42,AZ0100300,TUCSON
11A,02 - SEXUAL ASSAULT,2,9,48,AZ0100300,TUCSON
11A,02 - SEXUAL ASSAULT,2,10,43,AZ0100300,TUCSON
11A,02 - SEXUAL ASSAULT,2,11,45,AZ0100300,TUCSON
11A,02 - SEXUAL ASSAULT,2,12,34,AZ0100300,TUCSON
120,03 - ROBBERY,3,1,97,AZ0100300,TUCSON
120,03 - ROBBERY,3,2,69,AZ0100300,TUCSON
120,03 - ROBBERY,3,3,81,AZ0100300,TUCSON
120,03 - ROBBERY,3,4,84,AZ0100300,TUCSON
120,03 - ROBBERY,3,5,82,AZ0100300,TUCSON
120,03 - ROBBERY,3,6,101,AZ0100300,TUCSON
120,03 - ROBBERY,3,7,107,AZ0100300,TUCSON
120,03 - ROBBERY,3,8,128,AZ0100300,TUCSON
120,03 - ROBBERY,3,9,85,AZ0100300,TUCSON
120,03 - ROBBERY,3,10,119,AZ0100300,TUCSON
120,03 - ROBBERY,3,11,82,AZ0100300,TUCSON
120,03 - ROBBERY,3,12,94,AZ0100300,TUCSON
13A,"04 - ASSAULT, AGGRAVATED",4,1,175,AZ0100300,TUCSON
13A,"04 - ASSAULT, AGGRAVATED",4,2,176,AZ0100300,TUCSON
13A,"04 - ASSAULT, AGGRAVATED",4,3,162,AZ0100300,TUCSON
13A,"04 - ASSAULT, AGGRAVATED",4,4,168,AZ0100300,TUCSON
13A,"04 - ASSAULT, AGGRAVATED",4,5,183,AZ0100300,TUCSON
13A,"04 - ASSAULT, AGGRAVATED",4,6,207,AZ0100300,TUCSON
13A,"04 - ASSAULT, AGGRAVATED",4,7,185,AZ0100300,TUCSON
13A,"04 - ASSAULT, AGGRAVATED",4,8,202,AZ0100300,TUCSON
13A,"04 - ASSAULT, AGGRAVATED",4,9,176,AZ0100300,TUCSON
13A,"04 - ASSAULT, AGGRAVATED",4,10,201,AZ0100300,TUCSON
13A,"04 - ASSAULT, AGGRAVATED",4,11,183,AZ0100300,TUCSON
13A,"04 - ASSAULT, AGGRAVATED",4,12,171,AZ0100300,TUCSON
220,05 - BURGLARY,5,1,170,AZ0100300,TUCSON
220,05 - BURGLARY,5,2,169,AZ0100300,TUCSON
220,05 - BURGLARY,5,3,180,AZ0100300,TUCSON
220,05 - BURGLARY,5,4,157,AZ0100300,TUCSON
220,05 - BURGLARY,5,5,167,AZ0100300,TUCSON
220,05 - BURGLARY,5,6,175,AZ0100300,TUCSON
220,05 - BURGLARY,5,7,208,AZ0100300,TUCSON
220,05 - BURGLARY,5,8,217,AZ0100300,TUCSON
220,05 - BURGLARY,5,9,244,AZ0100300,TUCSON
220,05 - BURGLARY,5,10,214,AZ0100300,TUCSON
220,05 - BURGLARY,5,11,221,AZ0100300,TUCSON
220,05 - BURGLARY,5,12,274,AZ0100300,TUCSON
23A,06 - LARCENY,7,1,2,AZ0100300,TUCSON
23A,06 - LARCENY,7,2,2,AZ0100300,TUCSON
23A,06 - LARCENY,7,3,2,AZ0100300,TUCSON
23A,06 - LARCENY,7,4,1,AZ0100300,TUCSON
23A,06 - LARCENY,7,5,2,AZ0100300,TUCSON
23A,06 - LARCENY,7,6,4,AZ0100300,TUCSON
23A,06 - LARCENY,7,7,2,AZ0100300,TUCSON
23A,06 - LARCENY,7,8,3,AZ0100300,TUCSON
